datasetId,archiveType,dataSetName,geo_meanElev,geo_meanLat,geo_meanLon,geo_siteName,interpretation_direction,interpretation_seasonality,interpretation_variable,interpretation_variableDetail,originalDataURL,originalDatabase,paleoData_notes,paleoData_proxy,paleoData_sensorSpecies,paleoData_units,paleoData_variableName,yearUnits
iso2k_0,Coral,CO14WUCL,-13.100000381469727,10.300000190734863,-109.22000122070312,Clipperton Atoll,N/A,N/A,N/A,N/A,https://www.ncdc.noaa.gov/paleo/study/17380,Iso2k v1.1.2,; archiveType changed - was originally Coral (CO),d18O,nan,permil,d18O,CE
iso2k_12,GlacierIce,IC00OEKC,1439.0,-74.20999908447266,-9.75,DML Plateau (Kottas Camp) FB9802,positive,Annual,temperature,air@surface,https://doi.pangaea.de/10.1594/PANGAEA.728240,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_17,MarineSediment,MS09TCIS,178.0,39.76190185546875,17.89859962463379,Ionian Sea,decrease/increase,deleteMe,temperature,surface,https://doi.pangaea.de/10.1594/PANGAEA.857573,Iso2k v1.1.2,; archiveType changed - was originally Marine sediment (MS),d18O,nan,permil,d18O,CE
iso2k_20,Coral,CO95TUNG,-3.0,-5.21999979019165,145.82000732421875,"Madang, Papua New Guinea",decrease/increase,subannual,temperature,sea surface,https://www.ncdc.noaa.gov/paleo/study/1844,Iso2k v1.1.2,; climateInterpretation_seasonality changed - was originally subannual; archiveType changed - was originally Coral (CO),d18O,Porites,permil,d18O,CE
iso2k_23,Coral,CO17MUMA,-5.0,-5.381999969482422,117.91400146484375,Doangdoangan Besar,N/A,N/A,N/A,N/A,https://www.ncdc.noaa.gov/paleo/study/24630,Iso2k v1.1.2,nan,d18O,nan,permil,d18O,CE
iso2k_25,Coral,CO17MUMA,-5.0,-5.381999969482422,117.91400146484375,Doangdoangan Besar,N/A,N/A,N/A,N/A,https://www.ncdc.noaa.gov/paleo/study/24630,Iso2k v1.1.2,nan,d18O,nan,permil,d18O,CE
iso2k_26,GlacierIce,IC16WE30,2947.0,75.00160217285156,-42.00040054321289,B30,positive,Annual,temperature,air@surface,https://doi.pangaea.de/10.1594/PANGAEA.849161,Iso2k v1.1.2,; archiveType changed  was originally Ice core (IC); archiveType changed  was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_31,LakeSediment,LS10WRNA,4718.0,30.725200653076172,90.60659790039062,Nam Co,decrease,N/A,moisture,"Original interpretation_variable: precipitation, interpretation_variableDetail: Southern Tibet",this compilation,Iso2k v1.1.2,; archiveType changed - was originally Lake sediment (LS),d18O,nan,permil,d18O,CE
iso2k_35,GlacierIce,IC10VICR,3174.0,71.12000274658203,-37.31999969482422,Crete,positive,Annual,temperature,air@surface,https://doi.pangaea.de/10.1594/PANGAEA.786356,Iso2k v1.1.2,nan,d18O,nan,permil,d18O,CE
iso2k_37,GlacierIce,IC10VICR,3174.0,71.12000274658203,-37.31999969482422,Crete,N/A,Summer,temperature,air@surface,https://doi.pangaea.de/10.1594/PANGAEA.786356,Iso2k v1.1.2,summer signal,d18O,nan,nan,d18O,CE
iso2k_50,Coral,CO98SWPR,-5.0,1.666700005531311,7.5833001136779785,"Principe, Gulf of Guinea",N/A,N/A,N/A,N/A,https://www.ncdc.noaa.gov/paleo/study/1913,Iso2k v1.1.2,; archiveType changed - was originally Coral (CO),d18O,nan,permil,d18O,CE
iso2k_52,Coral,CO04BAFI,-2.0,-16.816699981689453,179.23330688476562,"Savusavu Bay, Fiji",N/A,N/A,temperature,sea surface,https://www.ncdc.noaa.gov/paleo/study/1881,Iso2k v1.1.2,; archiveType changed - was originally Coral (CO),d18O,nan,permil,d18O,CE
iso2k_55,Coral,CO04BAFI,-2.0,-16.816699981689453,179.23330688476562,"Savusavu Bay, Fiji",N/A,N/A,temperature,sea surface,https://www.ncdc.noaa.gov/paleo/study/1881,Iso2k v1.1.2,; archiveType changed - was originally Coral (CO),d18O,nan,permil,d18O,CE
iso2k_58,Coral,CO04BAFI,-2.0,-16.816699981689453,179.23330688476562,"Savusavu Bay, Fiji",N/A,N/A,temperature,sea surface,https://www.ncdc.noaa.gov/paleo/study/1881,Iso2k v1.1.2,; archiveType changed - was originally Coral (CO),d18O,nan,permil,d18O,CE
iso2k_60,Speleothem,SP11STBR,nan,-14.422699928283691,-44.3656005859375,"Lapa Grande Cave, Brazil",negative,Summer,moisture,"Original interpretation_variable: precipitation, interpretation_variableDetail: SAM",https://www.ncdc.noaa.gov/paleo/study/13540,Iso2k v1.1.2,; archiveType changed - was originally Speleothem (SP); archiveType changed - was originally Speleothem (SP),d18O,nan,permil,d18O,CE
iso2k_67,Coral,CO17DESC03A,-6.0,19.28700065612793,110.65599822998047,Hainan Island,N/A,N/A,N/A,N/A,https://agupubs.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2F2016JC012458&file=jgrc22050-sup-0002-2016JC012458-ds01.xlsx,Iso2k v1.1.2,nan,d18O,nan,permil,d18O,CE
iso2k_68,Coral,CO17DESC03A,-6.0,19.28700065612793,110.65599822998047,Hainan Island,N/A,N/A,N/A,N/A,https://agupubs.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2F2016JC012458&file=jgrc22050-sup-0002-2016JC012458-ds01.xlsx,Iso2k v1.1.2,nan,d18O,nan,permil,d18O,CE
iso2k_72,GlacierIce,IC13STSP,1835.0,-89.93000030517578,144.38999938964844,SPRESSO (South Pole),positive,Annual,temperature,air@surface,https://www.ncdc.noaa.gov/paleo/study/22519,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC),dD,nan,permil,d2H,CE
iso2k_74,LakeSediment,LS13WASU,2800.0,38.86669921875,93.94999694824219,Lake Sugan,increase,Growing Season,moisture,"Original interpretation_variable: effectivePrecipitation, interpretation_variableDetail: air@surface",this compilation,Iso2k v1.1.2,; archiveType changed - was originally Lake sediment (LS),dD,nan,permil,d2H,CE
iso2k_77,LakeSediment,LS13WASU,2800.0,38.86669921875,93.94999694824219,Lake Sugan,N/A,Growing Season,moisture,"Original interpretation_variable: effectivePrecipitation, interpretation_variableDetail: air@surface",this compilation,Iso2k v1.1.2,; archiveType changed - was originally Lake sediment (LS),dD,nan,permil,d2H,CE
iso2k_78,LakeSediment,LS16STPA,733.0,54.685001373291016,-122.61699676513672,Paradise,N/A,Winter,moisture,"Original interpretation_variable: effectivePrecipitation, interpretation_variableDetail: lake level",https://www.ncdc.noaa.gov/paleo/study/21250,Iso2k v1.1.2,nan,d18O,nan,permil,d18O,CE
iso2k_88,GlacierIce,IC09VIA8,1700.0,80.69999694824219,-73.0999984741211,Agassiz A84-A87,positive,Annual,temperature,air@surface,https://www.ncdc.noaa.gov/paleo/study/11148,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC); archiveType changed - was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_91,Coral,CO99DRGB,-10.0,-22.100000381469727,153.0,"Abraham Reef, Great Barrier Reef, Australia",decrease/increase,N/A,temperature,sea surface,https://www.ncdc.noaa.gov/paleo/study/1911,Iso2k v1.1.2,; archiveType changed - was originally Coral (CO),d18O,nan,permil,d18O,CE
iso2k_94,Coral,CO00URMA,6.0,0.9330000281333923,173.0,"Maiana Atoll, Republic of Kiribati",decrease/increase,subannual,temperature,sea surface,https://www.ncdc.noaa.gov/paleo/study/1859,Iso2k v1.1.2,; climateInterpretation_seasonality changed  was originally bimonthly; archiveType changed  was originally Coral (CO); archiveType changed  was originally Coral (CO),d18O,Porites,permil,d18O,CE
iso2k_98,Coral,CO00URMA,6.0,0.9330000281333923,173.0,"Maiana Atoll, Republic of Kiribati",N/A,N/A,N/A,N/A,https://www.ncdc.noaa.gov/paleo/study/1859,Iso2k v1.1.2,; archiveType changed  was originally Coral (CO); archiveType changed  was originally Coral (CO),d18O,nan,permil,d18O,CE
iso2k_100,GlacierIce,IC11LAB4,703.0,-70.86000061035156,11.539999961853027,IND 22B4 Coastal DML,positive,Annual,temperature,air@surface,https://www.ncdc.noaa.gov/paleo-search/study/22589,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_102,GlacierIce,IC96MOSS,1054.0,-75.91999816894531,-84.25,Siple Station,positive,Annual,temperature,air@surface,www.ncdc.noaa.gov/paleo-search/study/27330,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_104,GlacierIce,IC06VING,2917.0,75.0999984741211,-42.31999969482422,NGRIP,positive,Annual,temperature,air@surface,https://www.ncdc.noaa.gov/paleo/study/2494,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC); archiveType changed - was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_110,GlacierIce,IC00STHN,2960.0,-73.0999984741211,165.39999389648438,Hercules NA©vA©,positive,Annual,temperature,air@surface,https://www.ncdc.noaa.gov/paleo-search/study/22589,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_112,GlacierIce,IC99IS89,3406.0,-74.6500015258789,12.800000190734863,Eastern DML L89 (DML Ice divide traverse L),positive,Annual,temperature,air@surface,https://www.ncdc.noaa.gov/paleo/study/23231,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_117,LakeSediment,LS09LAEL,990.0,18.795799255371094,-70.88690185546875,Laguna de Salvador,negative,N/A,moisture,"Original interpretation_variable: effectivePrecipitation, interpretation_variableDetail: lake water",this compilation,Iso2k v1.1.2,; archiveType changed - was originally Lake sediment (LS),d18O,nan,permil,d18O,CE
iso2k_120,Speleothem,SP08HUCN,294.0,30.450000762939453,110.41600036621094,"Heshang Cave, China",negative,Summer,moisture,"Original interpretation_variable: precipitation, interpretation_variableDetail: More negative d18O values correspond to stronger amount",https://www.ncdc.noaa.gov/paleo/study/6095,Iso2k v1.1.2,; archiveType changed - was originally Speleothem (SP),d18O,nan,permil,d18O,CE
iso2k_124,GlacierIce,IC97THGL,6200.0,35.28329849243164,81.4832992553711,Guliya,positive,Annual,temperature,air@surface,https://www.ncdc.noaa.gov/paleo/study/12426,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC); archiveType changed - was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_127,Coral,CO09NUTB,-11.0,3.9061999320983887,-159.28590393066406,Fanning Island,increase,N/A,moisture,"Original interpretation_variable: salinity, interpretation_variableDetail: sea surface",https://www.ncdc.noaa.gov/paleo/study/8609,Iso2k v1.1.2,; archiveType changed - was originally Coral (CO),d18O,nan,permil,d18O,CE
iso2k_134,MarineSediment,MS96LKSS,4418.0,33.70000076293945,-57.619998931884766,Sargasso Sea,decrease/increase,deleteMe,temperature,surface,https://www.ncdc.noaa.gov/paleo-search/study/2519,Iso2k v1.1.2,; archiveType changed - was originally Marine sediment (MS),d18O,nan,permil,d18O,CE
iso2k_137,MarineSediment,MS96LKSS,4418.0,33.70000076293945,-57.619998931884766,Sargasso Sea,N/A,deleteMe,temperature,surface,https://www.ncdc.noaa.gov/paleo-search/study/2519,Iso2k v1.1.2,; archiveType changed - was originally Marine sediment (MS),d18O,nan,permil,d18O,CE
iso2k_140,Speleothem,SP10BEIN,400.0,19.0,82.0,"Dandak Cave, India",negative,Summer,moisture,"Original interpretation_variable: precipitation, interpretation_variableDetail: more negative values of d18O are interpreted as indicative of increased summer monsoon precipitation",https://www.ncdc.noaa.gov/paleo/study/8639,Iso2k v1.1.2,; archiveType changed - was originally Speleothem (SP),d18O,nan,permil,d18O,CE
iso2k_155,Coral,CO04KIVA,-1.5,-15.699999809265137,167.1999969482422,"Malo Channel, Espiritu Santo Island, Vanuatu",decrease/increase,subannual,temperature,sea surface,https://www.ncdc.noaa.gov/paleo/study/1925,Iso2k v1.1.2,; climateInterpretation_seasonality changed - was originally subannual,d18O,Porites lutea,permil,d18O,CE
iso2k_174,GlacierIce,IC02STTA,2316.0,-72.80000305175781,159.05999755859375,TD96 Talos Dome,positive,Annual,temperature,air@surface,https://www.ncdc.noaa.gov/paleo/study/22712,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC),dD,nan,permil,d2H,CE
iso2k_179,MarineSediment,MS11KDMS,-968.0,1.4033000469207764,119.0780029296875,Makassar strait,decrease/increase,deleteMe,temperature,subsurface (60-80m),https://www.ncdc.noaa.gov/paleo/study/18315,Iso2k v1.1.2,; archiveType changed - was originally Marine sediment (MS); archiveType changed - was originally Marine sediment (MS),d18O,nan,permil,d18O,CE
iso2k_185,GlacierIce,IC16WE22,2242.0,79.34140014648438,-45.911598205566406,B22,positive,Annual,temperature,air@surface,https://doi.pangaea.de/10.1594/PANGAEA.849161,Iso2k v1.1.2,; archiveType changed  was originally Ice core (IC); archiveType changed  was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_203,MarineSediment,MS09TRFD,-2543.0,55.5,-13.899999618530273,Feni Drift,increase,Spr-Sum,moisture,"Original interpretation_variable: salinity, interpretation_variableDetail: sea surface",https://www.ncdc.noaa.gov/paleo/study/8725,Iso2k v1.1.2,; archiveType changed - was originally Marine sediment (MS); archiveType changed - was originally Marine sediment (MS),d18O,nan,permil,d18O,CE
iso2k_206,MarineSediment,MS09TRFD,-2543.0,55.5,-13.899999618530273,Feni Drift,N/A,Spr-Sum,temperature,sea surface,https://www.ncdc.noaa.gov/paleo/study/8725,Iso2k v1.1.2,; archiveType changed - was originally Marine sediment (MS); archiveType changed - was originally Marine sediment (MS),d18O,nan,permil,d18O,CE
iso2k_207,Wood,TR16LAAN,124.0,45.733299255371094,0.30000001192092896,"Angouleme, France","T_air (positive), P_amount (negative), SPEI (negative)",Jun-Aug,temperature,Maximum temperature,https://www.ncdc.noaa.gov/paleo/study/20002,Iso2k v1.1.2,; archiveType changed  was originally Tree ring cellulose (TR),d18O,nan,permil,d18O,CE
iso2k_211,Coral,CO13HENG,0.0,-10.690699577331543,152.81149291992188,"Misima Island, Papua New Guinea",N/A,N/A,temperature,sea surface,https://www.ncdc.noaa.gov/paleo/study/15794,Iso2k v1.1.2,; archiveType changed - was originally Coral (CO),d18O,nan,permil,d18O,CE
iso2k_213,Coral,CO13HENG,0.0,-10.690699577331543,152.81149291992188,"Misima Island, Papua New Guinea",N/A,N/A,temperature,sea surface,https://www.ncdc.noaa.gov/paleo/study/15794,Iso2k v1.1.2,; archiveType changed - was originally Coral (CO),d18O,nan,permil,d18O,CE
iso2k_215,Speleothem,SP12CACN,4800.0,30.920000076293945,90.06999969482422,"Tianmen Cave, China",negative,Summer,moisture,"Original interpretation_variable: precipitation, interpretation_variableDetail: The interpretation is made for an older section of the sample. Last 2k data was not the focus of the manuscript",https://www.ncdc.noaa.gov/paleo/study/13625,Iso2k v1.1.2,; archiveType changed - was originally Speleothem (SP),d18O,nan,permil,d18O,CE
iso2k_218,Coral,CO96QUVA,-1.0,-15.0,167.0,"Tangoa Island, Vanuatu",decrease/increase,Annual,temperature,sea surface,https://www.ncdc.noaa.gov/paleo/study/1839,Iso2k v1.1.2,; climateInterpretation_seasonality changed - was originally annual; archiveType changed - was originally Coral (CO),d18O,lamellina,permil,d18O,CE
iso2k_220,LakeSediment,LS11TICH,880.0,-3.316699981689453,37.70000076293945,Lake Challa,decrease,Annual,N/A,"Original interpretation_variable: circulationVariable, interpretation_variableDetail: N/A",https://www.ncdc.noaa.gov/paleo/study/10889,Iso2k v1.1.2,; archiveType changed - was originally Lake sediment (LS),dD,nan,permil,d2H,CE
iso2k_236,Speleothem,SP09GRID,698.0,-8.532999992370605,120.43299865722656,"Liang Luar Cave, Indonesia",negative,Summer,moisture,"Original interpretation_variable: precipitation, interpretation_variableDetail: Australian-Indonesian Summer monsoon; More negative d18O values correspond to stronger amount",https://www.ncdc.noaa.gov/paleo/study/8632,Iso2k v1.1.2,; archiveType changed - was originally Speleothem (SP); archiveType changed - was originally Speleothem (SP),d18O,nan,permil,d18O,CE
iso2k_239,Speleothem,SP09GRID,698.0,-8.532999992370605,120.43299865722656,"Liang Luar Cave, Indonesia",N/A,Summer,N/A,"Original interpretation_variable: circulationVariable, interpretation_variableDetail: More negative d18O values correspond to stronger amount",https://www.ncdc.noaa.gov/paleo/study/8632,Iso2k v1.1.2,; archiveType changed - was originally Speleothem (SP); archiveType changed - was originally Speleothem (SP),d18O,nan,permil,d18O,CE
iso2k_244,GlacierIce,IC13ST03,1742.0,-78.43000030517578,-111.91999816894531,US-ITASE-2000-3,positive,Annual,temperature,air@surface,https://www.ncdc.noaa.gov/paleo/study/22519,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC),dD,nan,permil,d2H,CE
iso2k_249,GlacierIce,IC15GANK,5950.0,29.040000915527344,90.19999694824219,Noijin Kangsang Glacier,positive,Jun-Sep,temperature,air@surface,https://www.ncdc.noaa.gov/paleo-search/study/21171,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC); archiveType changed - was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_250,GlacierIce,IC15GANK,5950.0,29.040000915527344,90.19999694824219,Noijin Kangsang Glacier,N/A,N/A,N/A,N/A,https://www.ncdc.noaa.gov/paleo-search/study/21171,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC),dD,nan,permil,d2H,CE
iso2k_252,Coral,CO97CHSY,-7.0,-4.606200218200684,55.424400329589844,"Beau Vallon Bay, Mahe Island, Republic of the Seychelles",decrease/increase,subannual,temperature,sea surface,https://www.ncdc.noaa.gov/paleo/study/1857,Iso2k v1.1.2,; climateInterpretation_seasonality changed - was originally monthly; archiveType changed - was originally Coral (CO),d18O,Porites lutea,permil,d18O,CE
iso2k_254,Speleothem,SP07ASUS,1244.0,32.08300018310547,-105.16670227050781,"pink Panter Cave, New Mexico",negative,deleteMe,moisture,"Original interpretation_variable: precipitation, interpretation_variableDetail: more positive d18O values are interpreted to represent wetter conditions",https://www.ncdc.noaa.gov/paleo/study/9739,Iso2k v1.1.2,; archiveType changed - was originally Speleothem (SP),d18O,nan,permil,d18O,CE
iso2k_257,Coral,CO04ZIMG,-1.100000023841858,-23.149999618530273,43.58000183105469,"Ifaty Reef, SW Madagascar",decrease/increase,subannual,temperature,sea surface,https://www.ncdc.noaa.gov/paleo/study/16438,Iso2k v1.1.2,; climateInterpretation_seasonality changed - was originally monthly; archiveType changed - was originally Coral (CO),d18O,NaN,permil,d18O,CE
iso2k_259,Coral,CO98EVXM,9.0,1.6792000532150269,-157.24729919433594,Kiritimati,decrease/increase,subannual,temperature,sea surface,https://www.ncdc.noaa.gov/paleo/study/1847,Iso2k v1.1.2,; climateInterpretation_seasonality changed  was originally monthly; archiveType changed  was originally Coral (CO),d18O,"P. australiensis, possibly P. lobata",permil,d18O,CE
iso2k_264,GlacierIce,IC85LAD2,2200.0,66.37999725341797,-46.18000030517578,DYE2,positive,Winter,temperature,air@surface,https://www1.ncdc.noaa.gov/pub/data/paleo/icecore/greenland/gisp/dye2/dye2ad77.txt,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC); archiveType changed - was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_267,GlacierIce,IC10VISD,3018.0,70.63999938964844,-39.619998931884766,Site D,positive,Annual,temperature,air@surface,http://www.iceandclimate.nbi.ku.dk/data/Vinther_etal_2010_data_02feb2010.xls,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_270,GlacierIce,IC10VISD,3018.0,70.63999938964844,-39.619998931884766,Site D,N/A,Annual,temperature,air@surface,http://www.iceandclimate.nbi.ku.dk/data/Vinther_etal_2010_data_02feb2010.xls,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_272,Wood,TR11SAHU00,3848.0,29.850000381469727,81.93000030517578,"Humla, Nepal",negative,Jun-Sep,moisture,"Original interpretation_variable: precipitation, interpretation_variableDetail: Seasonal",https://www.ncdc.noaa.gov/paleo/study/22547,Iso2k v1.1.2,nan,d18O,nan,permil,d18O,CE
iso2k_273,GlacierIce,IC16WE20,2147.0,78.83329772949219,-36.5,B20,positive,Annual,temperature,air@surface,https://doi.pangaea.de/10.1594/PANGAEA.849161,Iso2k v1.1.2,; archiveType changed  was originally Ice core (IC); archiveType changed  was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_279,Wood,TR13POMA,3.0,68.4000015258789,-133.8000030517578,"Mackenzie Delta, NWT, Canada",positive,Apr-Jul,moisture,"Original interpretation_variable: precipitationIsotope, interpretation_variableDetail: minimum temperature",https://www.ncdc.noaa.gov/paleo/study/20930,Iso2k v1.1.2,nan,d18O,nan,permil,d18O,CE
iso2k_281,LakeSediment,LS91HOMI,20.0,18.402000427246094,-73.0459976196289,Miragoane,N/A,N/A,moisture,"Original interpretation_variable: effectivePrecipitation, interpretation_variableDetail: N/A",https://www.ncdc.noaa.gov/paleo/study/23092,Iso2k v1.1.2,; archiveType changed - was originally Lake sediment (LS); archiveType changed - was originally Lake sediment (LS),d18O,nan,permil,d18O,CE
iso2k_284,Speleothem,SP07FLOM,150.0,17.170000076293945,54.29999923706055,"Qunf Cave, Oman",negative,Annual,moisture,"Original interpretation_variable: precipitation, interpretation_variableDetail: Indian Summer Monsoon; more negative values of d18O are interpreted as indicative of increased monsoon strength",https://www.ncdc.noaa.gov/paleo-search/study/5541,Iso2k v1.1.2,; archiveType changed - was originally Speleothem (SP); archiveType changed - was originally Speleothem (SP),d18O,nan,permil,d18O,CE
iso2k_287,Speleothem,SP07DEUS,250.0,38.900001525878906,-92.30000305175781,"Devils Icebox Cave, Missouri",N/A,N/A,moisture,"Original interpretation_variable: precipitation, interpretation_variableDetail: N/A",https://www.ncdc.noaa.gov/paleo-search/study/15072,Iso2k v1.1.2,; archiveType changed - was originally Speleothem (SP),d18O,nan,permil,d18O,CE
iso2k_290,Speleothem,SP07DEUS,250.0,38.900001525878906,-92.30000305175781,"Devils Icebox Cave, Missouri",N/A,N/A,moisture,"Original interpretation_variable: precipitation, interpretation_variableDetail: N/A",https://www.ncdc.noaa.gov/paleo-search/study/15072,Iso2k v1.1.2,; archiveType changed - was originally Speleothem (SP),d18O,nan,permil,d18O,CE
iso2k_293,LakeSediment,LS15LAOH,693.0,41.065799713134766,20.672800064086914,Ohrid,increase,N/A,moisture,"Original interpretation_variable: evaporation, interpretation_variableDetail: N/A",this compilation,Iso2k v1.1.2,; archiveType changed - was originally Lake sediment (LS),d18O,nan,permil,d18O,CE
iso2k_296,GlacierIce,IC13STWD,1806.0,-79.45999908447266,-112.08999633789062,WDC05A,positive,Annual,temperature,air@surface,https://www.ncdc.noaa.gov/paleo/study/22531,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_298,GlacierIce,IC13STWD,1806.0,-79.45999908447266,-112.08999633789062,WDC05A,positive,Annual,temperature,air@surface,https://www.ncdc.noaa.gov/paleo/study/22531,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_299,GlacierIce,IC13STWD,1806.0,-79.45999908447266,-112.08999633789062,WDC05A,N/A,Annual,temperature,air@surface,https://www.ncdc.noaa.gov/paleo/study/22531,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_300,Coral,CO14ZIMG,-1.100000023841858,-23.357200622558594,43.61949920654297,"Tulear Reef, SW Madagascar",decrease/increase,N/A,temperature,sea surface,https://www.ncdc.noaa.gov/paleo/study/16438,Iso2k v1.1.2,; climateInterpretation_seasonality changed - was originally 3 4 5 6 7 8 9 10 11 12 13 14; archiveType changed - was originally Coral (CO),d18O,NaN,permil,d18O,CE
iso2k_302,Coral,CO14ZIMG,-1.100000023841858,-23.357200622558594,43.61949920654297,"Tulear Reef, SW Madagascar",decrease/increase,N/A,temperature,sea surface,https://www.ncdc.noaa.gov/paleo/study/16438,Iso2k v1.1.2,; climateInterpretation_seasonality changed - was originally 3 4 5 6 7 8 9 10 11 12 13 14; archiveType changed - was originally Coral (CO),d18O,NaN,permil,d18O,CE
iso2k_304,GroundIce,IW15MELD,10.0,72.4000015258789,126.0,Lena River Delta,positive,Dec-May,temperature,air@surface,https://doi.pangaea.de/10.1594/PANGAEA.842166,Iso2k v1.1.2,; archiveType changed - was originally Ice Wedge (IW); archiveType changed - was originally Ice Wedge (IW),d18O,nan,permil,d18O,CE
iso2k_311,GlacierIce,IC12WACD,4250.0,45.84109878540039,6.847799777984619,Col du Dome,positive,Summer,temperature,air@surface,https://doi.pangaea.de/10.1594/PANGAEA.880012,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC); archiveType changed - was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_320,GlacierIce,IC02HEWD,509.0,81.0,64.0,Windy Dome,positive,Annual,temperature,air@surface,https://www.ncdc.noaa.gov/paleo-search/study/22543,Iso2k v1.1.2,; archiveType changed  was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_324,GlacierIce,IC04FIML,5340.0,60.59000015258789,-140.5,Mt Logan (PRCol),N/A,Annual,N/A,"Original interpretation_variable: circulationVariable, interpretation_variableDetail: tropical or North Pacific moisture",this compilation,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC); archiveType changed - was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_339,GlacierIce,IC09VICC,1885.0,77.16999816894531,-61.130001068115234,Camp Century,positive,Annual,temperature,air@surface,https://www.ncdc.noaa.gov/paleo/study/11148,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_341,GlacierIce,IC16WE17,2820.0,75.25039672851562,-37.62480163574219,B17,positive,Annual,temperature,air@surface,https://doi.pangaea.de/10.1594/PANGAEA.849161,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC); archiveType changed - was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_345,Coral,CO17DESC04A,-6.0,19.319799423217773,110.69200134277344,Hainan Island,N/A,N/A,N/A,N/A,https://agupubs.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2F2016JC012458&file=jgrc22050-sup-0002-2016JC012458-ds01.xlsx,Iso2k v1.1.2,nan,d18O,nan,permil,d18O,CE
iso2k_346,Coral,CO17DESC04A,-6.0,19.319799423217773,110.69200134277344,Hainan Island,N/A,N/A,N/A,N/A,https://agupubs.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2F2016JC012458&file=jgrc22050-sup-0002-2016JC012458-ds01.xlsx,Iso2k v1.1.2,nan,d18O,nan,permil,d18O,CE
iso2k_347,Coral,CO14OSPA,-12.0,7.285900115966797,134.25030517578125,Palau,decrease/increase,subannual,temperature,sea surface,https://www.ncdc.noaa.gov/paleo/study/16339,Iso2k v1.1.2,; climateInterpretation_seasonality changed - was originally monthly; archiveType changed - was originally Coral (CO),d18O,Porites lutea,permil,d18O,CE
iso2k_350,Coral,CO14OSPA,-12.0,7.285900115966797,134.25030517578125,Palau,decrease/increase,subannual,temperature,sea surface,https://www.ncdc.noaa.gov/paleo/study/16339,Iso2k v1.1.2,; climateInterpretation_seasonality changed - was originally monthly; archiveType changed - was originally Coral (CO),d18O,Porites lutea,permil,d18O,CE
iso2k_353,Coral,CO06LIFI,-10.0,-16.816699981689453,179.23330688476562,"Savusavu Bay, Fiji",decrease,subannual,temperature,sea surface,https://www.ncdc.noaa.gov/paleo/study/16216,Iso2k v1.1.2,; climateInterpretation_seasonality changed - was originally monthly; archiveType changed - was originally Coral (CO),d18O,lutea,permil,d18O,CE
